id	root	seyame	root_type
956	LHG	0	parethesied
957	HL	0	normal
958	LW	0	normal
959	LW>	0	normal
960	LW>JS	0	normal
961	LWB>	0	normal
962	LWD	0	normal
963	LWDJ>	0	normal
964	LWX	0	parethesied
965	LWV	0	normal
966	LV	0	parethesied
967	LWJ	0	normal
968	LWJ	0	normal
969	LWJ	0	normal
970	LWJ	0	normal
971	LWKJT>	0	bracketed
972	LWLR>	0	parethesied
973	LWSVR>	0	normal
974	LWSJWS	0	normal
975	LWSNJ>	0	normal
976	LWQ>	0	normal
977	LWQJ>	0	normal
978	LWQJWS	0	normal
979	LWQNJ>	0	normal
980	LWT	0	normal
981	LX>	0	normal
982	XWD	0	parethesied
983	LXK	0	normal
984	LXM	0	normal
985	LXC	0	normal
986	LBRVN	0	normal
987	LJVR>	0	bracketed
988	LJNWS	0	normal
989	LJT	0	normal
990	LK>	0	normal
991	LL	0	normal
992	LJLJ	0	parethesied
993	LM	0	normal
994	LM>N>	0	bracketed
995	LMD	0	normal
996	LMK	0	normal
997	LMP>D>	0	bracketed
998	LSV>	0	bracketed
999	L<B	0	normal
1000	L<ZR	0	normal
1001	L<ZR	0	normal
1002	L<S	0	normal
1003	LQV	0	normal
1004	LQC	0	parethesied
1005	LCN	0	parethesied
1006	M>	0	normal
1007	M>>	0	normal
1008	M>N	0	normal
1009	M>N	0	parethesied
1010	M>NJ	0	normal
1011	M>T	0	normal
1012	MGDW	0	normal
1013	MGDW	0	normal
1014	MGDLJ>	0	parethesied
1015	MGWG	0	normal
1016	MGC	0	parethesied
1017	MGL>	0	parethesied
1018	MGN	0	parethesied
1019	MD	0	normal
1020	MDJ>	0	normal
1021	MDJN	0	normal
1022	MDN	0	parethesied
1023	MDK	0	normal
1024	MDM	0	normal
1025	MDR>	0	parethesied
1026	MHLL>JL	0	normal
1027	MWX>	0	parethesied
1028	MWM	0	parethesied
1029	MWSJ>	0	normal
1030	MWQ	0	parethesied
1031	MWR>	0	normal
1032	MWRWN	0	bracketed
1033	MC	0	parethesied
1034	MWC>	0	normal
1035	MT	0	parethesied
1036	MZG	0	normal
1037	MX>	0	normal
1038	MXL	0	normal
1039	MXR	0	normal
1040	MV>	0	normal
1041	MVL	0	normal
1042	MVR	0	normal
1043	MVT	0	normal
1044	MVT>	0	normal
1045	MVTT	0	normal
1046	MJ>	1	parethesied
1047	MJVWLJN>	0	normal
1048	MJK>JL	0	normal
1049	MJL>	0	bracketed
1050	MJLV>	0	normal
1051	MJLJVWS	0	normal
1052	MK	0	normal
1053	MK>	0	normal
1054	MKJL	0	normal
1055	MKS>	0	parethesied
1056	MKR	0	normal
1057	ML>	0	normal
1058	ML>K>	0	parethesied
1059	MLG	0	normal
1060	MLX	0	parethesied
1061	MLX	0	normal
1062	MLJ>	0	normal
1063	MLK	0	normal
1064	MLK	0	normal
1065	MLKWM	0	normal
1066	MLKJ	0	normal
1067	MLKJ	0	normal
1068	MLKJZDQ	0	normal
1069	ML	0	normal
1070	MMWN>	0	bracketed
1071	MN	0	normal
1072	MN	0	normal
1073	MN	0	normal
1074	MN	0	normal
1075	MN>	0	normal
1076	MN>JL	0	normal
1077	MNXJ	0	normal
1078	MNN>	0	parethesied
1079	MNSWN	0	normal
1080	MN<	0	normal
1081	MNC>	0	normal
1082	MNC>	0	normal
1083	MNT>	0	parethesied
1084	MS>	0	normal
