lexeme	seyame	word_type	grammatical_category	rest	first_suffix	second_suffix	third_suffix	prefix	first_vowel	second_vowel	third_vowel	fourth_vowel	num_vowels	radical_type	verbal_conjugation	root	root_seyame	root_type	ety_language	ety_type	ety_rest
>JK>	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JK>	0	normal			
>JKN>	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JKN	0	normal			
>JL	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JL	0	normal			
>JL>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	n/a	n/a	n/a	1	tri	n/a	>JL>	0	parethesied			
>JLN>	0	normal	noun	0	oNoA	n/a	n/a	n/a	i	o	n/a	n/a	2	tri	n/a	>JL>	0	parethesied			
>JMK>	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JMK>	0	normal			
>JMM>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JMM>	0	parethesied			
>JN	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JN	0	normal			
>JN>	0	normal	pronoun	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JN>	0	normal			
>JSWN	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JSWN	0	normal			
>JSXQ	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JSXQ	0	normal			
>JSKR	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JSKR	0	normal			
>JSR>JL	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JSR>JL	0	normal			
>JSRLJ>	0	normal	adjective_of_place	0	YoA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JSR>JL	0	normal			
>JQ>	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>JQ>	0	bracketed	greek	normal	0
