Dorotheus (text) 		http://syriaca.org/work/437
Dorotheus (text) 		http://syriaca.org/work/407
Drosis (text) 		http://syriaca.org/work/742
Drosis (text) 		http://syriaca.org/work/859
Drosis (text) 		http://syriaca.org/work/1109
Drosis (text) 		http://syriaca.org/work/743
Drosis (text) 		http://syriaca.org/work/881
Drosis (text) 		http://syriaca.org/work/852
Ebed-Mshiḥa of Adiabene (text) 		http://syriaca.org/work/1090
Elder from Scete (text) 		http://syriaca.org/work/508
Eleutheria, Anthia, and Qorabor (text) 		http://syriaca.org/work/386
Elijah, Friend of the Virgins (text) 		http://syriaca.org/work/672
Elijah, Friend of the Virgins (text) 		http://syriaca.org/work/436
Elijah (text) 		http://syriaca.org/work/526
Elijah (text) 		http://syriaca.org/work/428
Elijah (text) 		http://syriaca.org/work/470
Elijah and Theodore (text) 		http://syriaca.org/work/823
Elijah of Dara (text) 		http://syriaca.org/work/822
Elpidos (text) 		http://syriaca.org/work/466
Ephrem (Testament) (text) 		http://syriaca.org/work/1387
Ephrem (text) 		http://syriaca.org/work/315
Ephrem (text) 		http://syriaca.org/work/1307
Ephrem (text) 		http://syriaca.org/work/1928
Ephrem (text) 		http://syriaca.org/work/316
Ephrem (text) 		http://syriaca.org/work/979
Ephrem (text) 		http://syriaca.org/work/978
Ephrem (Variation) (text) 		http://syriaca.org/work/1666
Ephrem of Edessa (text) 		http://syriaca.org/work/464
Epiphanius (text) 		http://syriaca.org/work/236
Epiphanius of Cyprus (text) 		http://syriaca.org/work/1984
Epiphansius of Cyprus (text) 		http://syriaca.org/work/1453
Epiphansius of Cyprus (text) 		http://syriaca.org/work/1506
Eucarpios (text) 		http://syriaca.org/work/503
Eugene, John, and Aḥa (text) 		http://syriaca.org/work/1204
Eugene and Disciples (text) 		http://syriaca.org/work/1658
Eugene and Disciples (text) 		http://syriaca.org/work/1659
Eugenia and her Friends (text) 		http://syriaca.org/work/363
Eulogius (text) 		http://syriaca.org/work/1586
Eulogius (text) 		http://syriaca.org/work/906
Eulogius (text) 		http://syriaca.org/work/659
Eulogius (text) 		http://syriaca.org/work/531
Eulogius and the Leper (text) 		http://syriaca.org/work/474
Eulogius and the Lion (text) 		http://syriaca.org/work/1500
Euphemia (text) 		http://syriaca.org/work/1112
Euphemia and Sophia (text) 		http://syriaca.org/work/930
Euphemia and the Goth (text) 		http://syriaca.org/work/1634
Euphemius (text) 		http://syriaca.org/work/2011
Euphemius (text) 		http://syriaca.org/work/744
Euphrosyne (text) 		http://syriaca.org/work/358
Euphrosyne (text) 		http://syriaca.org/work/1750
Eupraxia (text) 		http://syriaca.org/work/1980
Eupraxius (text) 		http://syriaca.org/work/1486
Eusebius, Bishop of Rome (text) 		http://syriaca.org/work/381
Eusebius of Samosata (text) 		http://syriaca.org/work/383
Eustathius (text) 		http://syriaca.org/work/467
Eustathius and Meletius, Bishops of Antioch (text)		http://syriaca.org/work/872
Euthalius (text) 		http://syriaca.org/work/1736
Euthymius (text) 		http://syriaca.org/work/1879
Evagrius (text) 		http://syriaca.org/work/676
Evagrius (text) 		http://syriaca.org/work/1440
Evagrius (text) 		http://syriaca.org/work/486
Evagrius (text) 		http://syriaca.org/work/677
Evagrius (text) 		http://syriaca.org/work/536
Evagrius (text) 		http://syriaca.org/work/1433
The Evangelists (text) 		http://syriaca.org/work/1184
Evangelists (text) 		http://syriaca.org/work/1337
The Evangelists (text) 		http://syriaca.org/work/2007
The Evangelists (text) 		http://syriaca.org/work/1654
The Evangelists or Apostles (text) 		http://syriaca.org/work/1185
