	ܩܫܝܫ	http://syriaca.org/person/2032
Barhadbshabba of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1160
Barlaha	ܒܪܠܗܐ	http://syriaca.org/person/2240
Barlaha	ܒܪܠܗܐ	http://syriaca.org/person/1626
Barsai	[Syriac Not Available]	http://syriaca.org/person/1161
Barsamya	ܒܪܣܡܝܐ	http://syriaca.org/person/1162
Barsauma	ܒܪܨܘܡܐ	http://syriaca.org/person/370
Barsauma	ܒܪܨܘܡܐ	http://syriaca.org/person/1627
Barsauma of Hashrai	[Syriac Not Available]	http://syriaca.org/person/1164
Bar Shebya	ܒܪܫܒܝܐ	http://syriaca.org/person/1166
Bar Shebya	[Syriac Not Available]	http://syriaca.org/person/1165
Baruch	ܒܪܘܟ	http://syriaca.org/person/1628
bar ʿIdtaRabban	ܪܒܢ ܒܪ ܥܕܬܐ	http://syriaca.org/person/366
Basil	ܒܣܝܠܝܘܣ	http://syriaca.org/person/1629
Basil of Caesarea	ܒܣܝܠܠܝܘܣ ܕܩܣܪܝܐ	http://syriaca.org/person/376
Bassius	ܒܣܝܢܐ	http://syriaca.org/person/1630
Bassus	[Syriac Not Available]	http://syriaca.org/person/1167
Bawai	[Syriac Not Available]	http://syriaca.org/person/1169
Behnam	ܒܗܢܡ	http://syriaca.org/person/1171
Behnam	[Syriac Not Available]	http://syriaca.org/person/1170
Benjamin	[Syriac Not Available]	http://syriaca.org/person/1174
Benjamin	[Syriac Not Available]	http://syriaca.org/person/1173
Benjamin	ܒܢܝܡܝܢ	http://syriaca.org/person/1172
Benjamin, son of Jacob	ܒܢܝܡܝܢ	http://syriaca.org/person/1632
Benjamin of Beth Nuhadra	ܒܢܝܡܝܢ ܡܢ ܐܬܪܐ ܢܘܗܕܪܐ	http://syriaca.org/person/1633
Bessarion	ܒܝܣܝܪܝܘܢ	http://syriaca.org/person/1634
Bishoi	ܒܝܫܘܝ	http://syriaca.org/person/1175
Bohtishoʿ	[Syriac Not Available]	http://syriaca.org/person/1176
Bohtizad of Kurke	[Syriac Not Available]	http://syriaca.org/person/1177
Brihishoʿ, brother of Yawnan	[Syriac Not Available]	http://syriaca.org/person/1179
Brikhishoʿ	ܒܪܝܟܝܫܘܥ	http://syriaca.org/person/1178
Brother	ܐܚܐ	http://syriaca.org/person/1740
Butlana	[Syriac Not Available]	http://syriaca.org/person/1180
RabbanBuya	[Syriac Not Available]	http://syriaca.org/person/1181
Caesarea	ܩܣܪܝܐ	http://syriaca.org/person/1641
Caesarius	ܩܣܪܝܘܣ	http://syriaca.org/person/1640
Callinicus	ܩܠܝܢܝܩܘܣ	http://syriaca.org/person/1636
Candida	ܩܢܕܝܕܐ	http://syriaca.org/person/1637
Candida	[Syriac Not Available]	http://syriaca.org/person/3003
Capiton	ܩܦܝܛܘܢ	http://syriaca.org/person/1638
Carnidos	ܩܪܢܝܕܘܣ	http://syriaca.org/person/1639
Carpus	[Syriac Not Available]	http://syriaca.org/person/1182
Charisios	ܟܪܝܣܣ	http://syriaca.org/person/1642
The Cherub Gaurding Pardise	ܟܪܘܒܐ	http://syriaca.org/person/1644
A Child from Alexandria	[Syriac Not Available]	http://syriaca.org/person/2132
Christina Yazdoi	ܟܪܣܛܝܢܐ ܝܙܕܘܝ	http://syriaca.org/person/1183
Christopher	ܟܪܝܣܛܘܦܘܪܘܣ	http://syriaca.org/person/1645
Chronios	ܟܪܘܢܝܘܣ	http://syriaca.org/person/1646
Claudius	ܩܠܘܕܝܢܘܣ	http://syriaca.org/person/1647
Clement of Ankara	ܩܠܡܝܣ	http://syriaca.org/person/1648
Clement of Rome	ܩܠܡܝܣ	http://syriaca.org/person/423
Collutus	ܩܘܠܬܐܘܣ	http://syriaca.org/person/1649
Constantine, bishop of Edessa	ܩܘܣܛܢܛܝܢ ܕܐܘܪܗܝ	http://syriaca.org/person/1840
Constantine, bishop of Edessa	ܩܘܣܛܢܛܝܢ ܕܐܘܪܗܝ	http://syriaca.org/person/1839
Constantine bishop of Edessa	ܩܘܣܛܢܛܝܢ ܕܐܘܪܗܝ	http://syriaca.org/person/126
Constantine the Great	ܩܘܣܛܢܛܝܢܘܣ	http://syriaca.org/person/1655
Copros	ܩܘܦܪܘܣ	http://syriaca.org/person/1657
Cosmos	ܩܘܙܡܐ	http://syriaca.org/person/1650
Cosmos of Sinai	ܩܘܙܡܐ	http://syriaca.org/person/1651
Crescens	ܩܪܣܩܘܣ	http://syriaca.org/person/1660
The Cross	ܨܠܝܒܐ	http://syriaca.org/person/1661
Cyprian	ܩܘܦܪܝܢܐ	http://syriaca.org/person/1663
Cyprian	ܩܘܦܪܝܢܘܣ	http://syriaca.org/person/1662
Cyprian	[Syriac Not Available]	http://syriaca.org/person/1185
Cyriacus	ܩܘܪܝܩܘܣ	http://syriaca.org/person/1665
Cyriacus	ܩܘܪܝܩܐ	http://syriaca.org/person/1664
Cyriacus	ܩܘܪܝܩܘܣ	http://syriaca.org/person/1192
Cyriacus	[Syriac Not Available]	http://syriaca.org/person/1528
Cyriacus	[Syriac Not Available]	http://syriaca.org/person/1189
Cyriacuspatriarch of Antioch	ܩܘܪܝܐܩܘܣ	http://syriaca.org/person/145
Cyril	ܟܘܪܠܘܣ	http://syriaca.org/person/1666
Cyril of Alexandria	ܩܘܪܝܠܠܘܣ ܕܐܠܟܣܢܕܪܝܐ	http://syriaca.org/person/430
Cyrus	[Syriac Not Available]	http://syriaca.org/person/1188
Cyrus	[Syriac Not Available]	http://syriaca.org/person/1186
Cyrus II of Edessa	ܩܘܪܐ	http://syriaca.org/person/2253
Cyrus of Harran	ܩܘܪܝܘܣ	http://syriaca.org/person/1187
Dada	ܕܕܐ	http://syriaca.org/person/1667
Dado	ܕܕܘ	http://syriaca.org/person/1194
Dadouq	ܕܕܘܩ	http://syriaca.org/person/1668
Dadu	[Syriac Not Available]	http://syriaca.org/person/3027
Damian	ܕܘܡܝܢܐ	http://syriaca.org/person/1669
Damian, patriarch of Alexandria	[Syriac Not Available]	http://syriaca.org/person/1196
Daniel	[Syriac Not Available]	http://syriaca.org/person/1670
Daniel	ܕܢܝܐܝܠ	http://syriaca.org/person/1671
Daniel	ܕܢܝܐܝܠ	http://syriaca.org/person/1200
Daniel	ܕܢܝܐܝܠ	http://syriaca.org/person/1672
Daniel	[Syriac Not Available]	http://syriaca.org/person/1199
Daniel of Adiabene	ܕܢܝܐܝܠ	http://syriaca.org/person/1673
Daniel of Galash	[Syriac Not Available]	http://syriaca.org/person/1198
Daniel of Mardin	[Syriac Not Available]	http://syriaca.org/person/1674
Daniel of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1202
Daniel of Scetis	ܕܢܝܐܝܠ	http://syriaca.org/person/1203
Daniel of the Monastery of the Dung Beetles	[Syriac Not Available]	http://syriaca.org/person/1197
Daniel the Doctor	ܕܢܝܐܝܠ ܐܣܝܐ	http://syriaca.org/person/1201
Daniel the Stylite	[Syriac Not Available]	http://syriaca.org/person/1204
A Daughter of the Covenant	[Syriac Not Available]	http://syriaca.org/person/1631
David	[Syriac Not Available]	http://syriaca.org/person/1205
David of Harran	[Syriac Not Available]	http://syriaca.org/person/1206
Demet	ܕܝܡܛ	http://syriaca.org/person/2258
Demetrianus	[Syriac Not Available]	http://syriaca.org/person/1207
Denha	[Syriac Not Available]	http://syriaca.org/person/1208
DenhamaphrianI	ܕܢܚܐ	http://syriaca.org/person/97
Didymus	ܕܝܕܘܡܘܣ	http://syriaca.org/person/1679
